forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
2008-07-01,20,26.887475585937494,25.905000000000058,30.849075189322537,29.657671857379572,17.09948659116837,16.474666754356548,0.2,0.0,7.774334777832029,13.443737792968747,4.763034912109374,8.660369160970049,0.3,42.212118530273436,-3.7926098665795567,-4.017184280924984
2008-08-01,20,30.37995666503901,33.814999999999976,38.74120507155218,41.99479134368925,19.241422350009696,21.41703834338705,1.0,0.0,4.913037475585937,15.189978332519505,11.625814758300766,10.576276855468736,0.3,38.72007751464845,10.158341963510182,7.747594804101823
2008-09-01,20,43.89458496093751,45.57000000000001,50.357713332948684,52.10078694223343,27.710924879248125,28.768624828577636,0.85,0.0,7.094320556640627,21.947292480468754,17.88153454589844,15.64104919433594,0.25,55.06294555664063,3.6765745864878205,3.345580194820031
2008-10-01,20,103.7409912109375,123.29500000000004,123.34578322158916,145.6739012314835,64.38896822780625,76.52556376201632,0.85,0.0,16.10542248535156,51.87049560546875,32.340574829101556,33.43883097330728,0.45,150.65108642578124,15.859531034561453,15.327466224999215
2008-10-31,20,81.08960571289063,104.43999999999997,108.41514808621348,128.77408900862,47.74958267237577,61.499453233993925,0.9,0.0,23.259977783203126,40.544802856445315,11.726482788085935,25.177087809244792,1.0,349.86460571289064,22.35771187965276,15.809811647002771
2008-12-01,20,62.412777099609364,90.95499999999996,70.6712356974591,113.49612107909235,36.117470903832945,52.63448798016528,0.85,0.0,10.990827270507815,31.206388549804682,18.84630163574218,20.347839152018224,1.0,298.3712890625,31.3805979884455,37.732466074139886
2008-12-31,20,141.98876831054685,90.41999999999999,147.9225289261118,96.96263713410438,80.76041018169093,51.42911214397848,0.0,0.05,22.3907353515625,70.99438415527342,38.89579174804686,44.093637084960925,0.0,180.68980712890624,-57.0324798833741,-52.556214742310715
2009-01-30,20,77.57500244140626,60.96,94.99368597115165,80.11707683134726,43.54781236530238,34.220748414335596,0.0,0.0,13.976794677734379,38.78750122070313,20.210284790039058,24.324860229492188,0.45,127.58192749023438,-27.255581432753043,-18.568587033100094
2009-02-27,20,75.64999999999999,72.405,87.8173251791258,86.20514195800624,42.09255858676499,40.28700204196589,0.35,0.0,19.251046142578126,37.824999999999996,15.469133300781246,24.181726481119792,0.4,142.91260986328126,-4.481734686831007,-1.8701706006179077
2009-04-01,20,80.78434448242189,59.425000000000054,82.2354517644558,60.97018533676937,44.044009406528325,32.39879305516253,0.0,0.0,8.198169555664066,40.39217224121094,18.254262695312494,22.281534830729168,0.55,187.7523986816406,-35.94336471589704,-34.87813971735126
2009-04-30,20,81.20411010742187,89.285,82.93257424956136,90.71522749792341,43.8404499304297,48.203158274382204,1.0,0.0,33.18323400878906,40.602055053710934,13.747661376953122,29.17765014648437,0.0,100.60635375976562,9.050669085040184,8.579213725215217
